,id,types,rarity,skin,total_traits,traits,total_hidden_traits,hidden_traits
62,62,Female,8506,Dark,4,"Clown Eyes Blue,Earring,Hot Lipstick,Mohawk Dark",0,
63,63,Male,7434,Dark,3,"Earring,Shaved Head,Small Shades",0,
64,64,Female,1719,Mid,2,"Purple Lipstick,Straight Hair Blonde",0,
65,65,Female,7127,Mid,2,"Eye Mask,Headband",0,
66,66,Female,3656,Dark,1,Tassle Hat,0,
67,67,Female,2067,Dark,3,"3D Glasses,Half Shaved,Purple Lipstick",0,
68,68,Male,7570,Dark,2,"Do-rag,Nerd Glasses",0,
69,69,Male,3818,Mid,2,"Fedora,Normal Beard Black",0,
70,70,Female,8742,Mid,4,"Cigarette,Crazy Hair,Earring,Regular Shades",0,
71,71,Female,2011,Light,3,"Green Eye Shadow,Half Shaved,Purple Lipstick",0,
72,72,Male,3825,Dark,4,"Earring,Fedora,Nerd Glasses,Normal Beard",0,
73,73,Female,9952,Mid,3,"Bandana,Black Lipstick,Earring",0,
74,74,Male,8981,Dark,3,"Earring,Mohawk Dark,Shadow Beard",0,
75,75,Male,8839,Light,3,"Eye Patch,Knitted Cap,Shadow Beard",0,
76,76,Male,7590,Light,2,"Cigarette,Do-rag",0,
77,77,Male,5613,Dark,2,"Handlebars,Stringy Hair",0,
78,78,Male,5546,Mid,3,"Eye Patch,Handlebars,Knitted Cap",0,
79,79,Male,7010,Dark,2,"Mohawk Dark,Normal Beard",0,
80,80,Male,6696,Albino,2,"Mustache,Wild Hair",0,
81,81,Male,8251,Light,2,"Headband,Small Shades",0,
82,82,Male,8033,Albino,1,Headband,0,
83,83,Male,5861,Light,3,"Shaved Head,Small Shades,Vape",0,
84,84,Male,9656,Light,3,"Big Shades,Earring,Messy Hair",0,
85,85,Female,8042,Dark,1,Crazy Hair,0,
86,86,Female,5751,Dark,4,"Earring,Green Eye Shadow,Hot Lipstick,Knitted Cap",0,
87,87,Male,4998,Light,2,"Earring,Hoodie",1,Earring
88,88,Female,8231,Light,2,"Cap,Hot Lipstick",0,
89,89,Female,125,Dark,1,Choker,0,
90,90,Male,4954,Mid,2,"Eye Patch,Hoodie",0,
91,91,Female,2730,Light,2,"Clown Nose,Straight Hair",0,
92,92,Female,729,Light,3,"Nerd Glasses,Pink With Hat,Purple Lipstick",0,
93,93,Female,8114,Light,1,Bandana,0,
94,94,Female,720,Dark,3,"Earring,Pink With Hat,Regular Shades",1,Earring
95,95,Male,9339,Mid,2,"Earring,Mohawk",0,
96,96,Female,2161,Light,1,Blonde Bob,0,
97,97,Male,8093,Mid,1,Wild Hair,0,
98,98,Female,436,Light,3,"Black Lipstick,Dark Hair,Welding Goggles",0,
99,99,Male,4997,Mid,2,"Cigarette,Hoodie",0,
0,100,Female,3658,Mid,1,Tassle Hat,0,
1,101,Male,4069,Mid,2,"Nerd Glasses,Police Cap",0,
2,102,Male,2078,Mid,2,"Luxurious Beard,Vampire Hair",0,
3,103,Female,2005,Dark,3,"Black Lipstick,Blonde Bob,Green Eye Shadow",0,
4,104,Male,6805,Dark,4,"Crazy Hair,Earring,Eye Patch,Normal Beard Black",0,
5,105,Male,8074,Light,1,Mohawk Thin,0,
6,106,Female,1589,Light,1,Straight Hair Blonde,0,
7,107,Male,8039,Mid,1,Headband,0,
8,108,Female,8682,Light,2,"Black Lipstick,Headband",0,
9,109,Male,3778,Dark,3,"Earring,Fedora,Handlebars",0,
10,110,Female,9046,Dark,4,"Cigarette,Earring,Mohawk Dark,Purple Lipstick",0,
11,111,Male,5551,Dark,2,"Handlebars,Knitted Cap",0,
12,112,Male,1877,Mid,4,"Bandana,Big Beard,Earring,Horned Rim Glasses",0,
13,113,Male,8066,Albino,1,Mohawk,0,
14,114,Female,2158,Dark,1,Red Mohawk,0,
15,115,Female,2421,Dark,2,"Earring,Half Shaved",1,Earring
16,116,Female,220,Dark,4,"Black Lipstick,Clown Eyes Blue,Earring,Tiara",0,
17,117,Zombie,504,Zombie,2,"Front Beard Dark,Messy Hair",0,
18,118,Female,9954,Light,2,"Bandana,Black Lipstick",0,
19,119,Male,8245,Mid,2,"Cap,Earring",0,
20,120,Female,3703,Mid,2,"Big Shades,Tassle Hat",0,
21,121,Female,243,Light,2,"Purple Lipstick,Tiara",0,
22,122,Male,9323,Light,2,"Cigarette,Mohawk",0,
23,123,Female,868,Mid,2,"Spots,Wild White Hair",0,
24,124,Male,6760,Mid,3,"Earring,Normal Beard Black,Peak Spike",0,
25,125,Female,3693,Light,3,"Big Shades,Purple Lipstick,Tassle Hat",0,
26,126,Male,8605,Albino,4,"Cigarette,Earring,Eye Patch,Headband",0,
27,127,Female,8453,Mid,2,"Clown Eyes Green,Stringy Hair",0,
28,128,Male,3938,Light,4,"Chinstrap,Mole,Police Cap,Vape",1,Mole
29,129,Male,3389,Light,4,"Cap Forward,Cigarette,Gold Chain,Horned Rim Glasses",0,
30,130,Male,8075,Light,1,Mohawk,0,
31,131,Female,2694,Mid,2,"Hot Lipstick,Straight Hair Dark",0,
32,132,Male,8070,Dark,1,Mohawk Thin,0,
33,133,Male,3149,Albino,3,"Chinstrap,Pipe,Purple Hair",0,
34,134,Male,4021,Mid,1,Police Cap,0,
35,135,Male,4708,Light,1,Cap Forward,0,
36,136,Male,7444,Dark,3,"Clown Eyes Green,Shadow Beard,Shaved Head",0,
37,137,Male,8097,Dark,1,Messy Hair,0,
38,138,Male,9806,Light,2,"Horned Rim Glasses,Stringy Hair",0,
39,139,Male,7470,Mid,2,"Do-rag,Eye Patch",0,
40,140,Female,4532,Dark,1,Hot Lipstick,0,
41,141,Male,6115,Dark,3,"3D Glasses,Chinstrap,Headband",0,
42,142,Male,9168,Light,2,"Mohawk,Regular Shades",0,
43,143,Male,91,Light,2,"Beanie,Horned Rim Glasses",0,
44,144,Male,6479,Dark,3,"Cigarette,Frumpy Hair,Luxurious Beard",0,
45,145,Male,8091,Light,1,Wild Hair,0,
46,146,Male,9335,Light,2,"Earring,Mohawk",0,
47,147,Male,9158,Albino,2,"Mohawk Thin,Regular Shades",0,
48,148,Male,4935,Mid,1,Hoodie,0,
49,149,Male,6522,Light,3,"Big Shades,Luxurious Beard,Messy Hair",0,
50,150,Female,4578,Mid,2,"Earring,Purple Lipstick",0,
51,151,Male,8015,Mid,2,"Stringy Hair,VR",0,
52,152,Male,8371,Light,2,"Clown Eyes Green,Mohawk Dark",0,
53,153,Male,7120,Mid,3,"Cap,Earring,Eye Mask",0,
54,154,Male,4969,Dark,3,"Earring,Hoodie,Shadow Beard",1,Earring
55,155,Male,2455,Dark,2,"Clown Hair Green,Clown Nose",0,
56,156,Male,4715,Dark,2,"Cap Forward,Small Shades",0,
57,157,Male,8237,Mid,2,"Cap,Cigarette",0,
58,158,Male,7330,Light,3,"Goat,Regular Shades,Wild Hair",0,
59,159,Male,9873,Light,2,"Earring,Stringy Hair",0,
60,160,Female,612,Mid,3,"Clown Eyes Blue,Pigtails,Purple Lipstick",0,
61,161,Female,9452,Dark,2,"Frumpy Hair,Hot Lipstick",0,
62,162,Male,6860,Mid,3,"Frumpy Hair,Horned Rim Glasses,Normal Beard Black",0,
63,163,Male,7466,Dark,2,"Eye Patch,Shaved Head",0,
64,164,Female,8014,Mid,2,"Stringy Hair,VR",0,
65,165,Male,5111,Mid,3,"Cigarette,Front Beard Dark,Mohawk Dark",0,
66,166,Male,7528,Dark,2,"Regular Shades,Shaved Head",0,
67,167,Female,8698,Mid,2,"Headband,Hot Lipstick",0,
68,168,Female,1880,Light,3,"Blonde Bob,Blue Eye Shadow,Silver Chain",0,
69,169,Female,1299,Mid,3,"Hot Lipstick,Regular Shades,Wild White Hair",0,
70,170,Male,7775,Light,3,"Classic Shades,Mole,Peak Spike",0,
71,171,Male,9837,Mid,3,"Earring,Mole,Stringy Hair",0,
72,172,Female,2068,Mid,3,"3D Glasses,Blonde Bob,Purple Lipstick",0,
73,173,Female,3360,Dark,5,"Clown Eyes Blue,Hot Lipstick,Messy Hair,Mole,Pipe",0,
74,174,Male,9534,Dark,3,"Earring,Horned Rim Glasses,Wild Hair",0,
75,175,Male,8197,Mid,2,"Big Shades,Cap",0,
76,176,Female,9512,Dark,4,"Earring,Purple Lipstick,Regular Shades,Wild Hair",1,Earring
77,177,Male,6561,Dark,2,"Bandana,Luxurious Beard",0,
78,178,Male,3855,Mid,1,Fedora,0,
79,179,Male,9095,Albino,3,"Classic Shades,Mohawk Thin,Shadow Beard",0,
80,180,Female,189,Dark,2,"Hot Lipstick,Pilot Helmet",0,
81,181,Male,8071,Dark,1,Mohawk,0,
82,182,Male,7633,Albino,1,Peak Spike,0,
83,183,Male,4507,Light,1,Shadow Beard,0,
84,184,Female,2025,Dark,2,"Blonde Bob,Green Eye Shadow",0,
85,185,Female,1334,Light,2,"Hot Lipstick,Wild White Hair",0,
86,186,Male,6642,Dark,2,"Crazy Hair,Mustache",0,
87,187,Female,2777,Light,1,Straight Hair,0,
88,188,Male,7815,Dark,3,"Earring,Nerd Glasses,Peak Spike",0,
89,189,Female,9288,Light,2,"Mohawk Thin,Purple Lipstick",0,
90,190,Male,8035,Dark,1,Headband,0,
91,191,Female,8068,Dark,1,Mohawk,0,
92,192,Male,4170,Mid,4,"Clown Nose,Earring,Mohawk Thin,Nerd Glasses",0,
93,193,Female,3623,Light,3,"Earring,Green Eye Shadow,Tassle Hat",1,Earring
94,194,Male,8423,Light,2,"Clown Eyes Green,Wild Hair",0,
95,195,Female,1687,Light,2,"Nerd Glasses,Straight Hair Blonde",0,
96,196,Female,3695,Light,3,"Big Shades,Hot Lipstick,Tassle Hat",0,
97,197,Male,9348,Dark,2,"Eye Patch,Frumpy Hair",0,
98,198,Male,68,Mid,2,"Beanie,Luxurious Beard",0,
99,199,Female,1161,Light,2,"Blonde Short,Classic Shades",0,
100,200,Female,8088,Dark,1,Wild Hair,0,
101,201,Female,2996,Mid,4,"Blue Eye Shadow,Cigarette,Dark Hair,Hot Lipstick",0,
102,202,Female,8691,Light,3,"Earring,Headband,Purple Lipstick",0,
103,203,Male,6082,Light,3,"Front Beard,Messy Hair,Regular Shades",0,
104,204,Male,8749,Mid,2,"Crazy Hair,Regular Shades",0,
105,205,Male,6829,Mid,3,"Big Shades,Mohawk Dark,Normal Beard Black",0,
106,206,Male,4087,Light,3,"Cap Forward,Cigarette,Clown Nose",0,
107,207,Male,7616,Light,3,"Eye Patch,Peak Spike,Pipe",0,
108,208,Male,6321,Mid,3,"3D Glasses,Earring,Shaved Head",0,
109,209,Female,9856,Dark,2,"Hot Lipstick,Stringy Hair",0,
110,210,Female,2708,Mid,2,"Earring,Straight Hair Dark",1,Earring
111,211,Male,7320,Dark,2,"Goat,Mohawk Thin",0,
112,212,Female,8822,Dark,2,"Crazy Hair,Hot Lipstick",0,
113,213,Female,8046,Mid,1,Crazy Hair,0,
114,214,Male,5128,Dark,2,"Front Beard Dark,Mohawk",0,
115,215,Female,8076,Mid,1,Mohawk,0,
116,216,Male,8117,Mid,1,Bandana,0,
117,217,Male,6210,Mid,3,"Chinstrap,Earring,Mohawk Dark",0,
118,218,Male,5511,Light,4,"Cap,Handlebars,Mole,Regular Shades",0,
119,219,Female,1062,Dark,4,"Bandana,Clown Eyes Blue,Earring,Rosy Cheeks",0,
120,220,Male,8652,Albino,2,"Big Shades,Headband",0,
121,221,Male,7758,Dark,4,"Cigarette,Classic Shades,Muttonchops,Stringy Hair",0,
122,222,Male,7395,Light,3,"Do-rag,Pipe,Small Shades",0,
123,223,Male,6982,Light,3,"Crazy Hair,Nerd Glasses,Normal Beard",0,
124,224,Male,8669,Light,4,"Cigarette,Earring,Headband,Nerd Glasses",0,
125,225,Female,311,Mid,3,"Earring,Hot Lipstick,Orange Side",1,Earring
126,226,Female,4534,Mid,1,Hot Lipstick,0,
127,227,Female,1270,Mid,1,Wild White Hair,0,
128,228,Male,7663,Mid,2,"Peak Spike,Small Shades",0,
129,229,Male,9727,Light,2,"Cigarette,Messy Hair",0,
130,230,Male,6429,Dark,2,"Knitted Cap,Luxurious Beard",0,
131,231,Female,7915,Mid,3,"Earring,Pipe,Stringy Hair",0,
132,232,Female,5688,Dark,2,"Blue Eye Shadow,Wild Hair",0,
133,233,Female,9978,Albino,2,"Bandana,Hot Lipstick",0,
134,234,Male,8910,Light,2,"Knitted Cap,Nerd Glasses",0,
135,235,Male,9461,Light,2,"Cigarette,Frumpy Hair",0,
136,236,Male,2121,Light,2,"Muttonchops,Vampire Hair",0,
137,237,Male,9165,Dark,2,"Mohawk,Regular Shades",0,
138,238,Female,2577,Mid,2,"Clown Eyes Green,Straight Hair Dark",0,
139,239,Male,5213,Dark,3,"Frown,Goat,Mohawk",0,
140,240,Female,1674,Mid,2,"Big Shades,Straight Hair Blonde",0,
141,241,Female,1590,Light,1,Wild Blonde,0,
142,242,Female,9827,Dark,2,"Black Lipstick,Stringy Hair",0,
143,243,Male,3947,Light,4,"Cigarette,Earring,Front Beard,Police Cap",0,
144,244,Female,9513,Light,3,"Purple Lipstick,Regular Shades,Wild Hair",0,
145,245,Female,3025,Dark,1,Dark Hair,0,
146,246,Male,6555,Albino,3,"Bandana,Earring,Luxurious Beard",0,
147,247,Female,5762,Dark,2,"Green Eye Shadow,Mohawk Dark",0,
148,248,Female,5424,Dark,2,"Messy Hair,Purple Eye Shadow",0,
149,249,Female,280,Light,1,Orange Side,0,
150,250,Female,8409,Mid,3,"Clown Eyes Green,Earring,Frumpy Hair",1,Earring
151,251,Female,5763,Light,2,"Green Eye Shadow,Mohawk Dark",0,
152,252,Male,4772,Albino,2,"Cap Forward,Mole",0,
153,253,Female,1145,Dark,2,"Blonde Short,Clown Eyes Green",0,
154,254,Male,3854,Light,1,Fedora,0,
155,255,Male,6584,Light,2,"Mustache,Shaved Head",0,
156,256,Male,3781,Dark,4,"Earring,Eye Patch,Fedora,Vape",0,
157,257,Male,5261,Light,2,"Cap,Frown",0,
158,258,Male,4604,Mid,2,"Cap Forward,Handlebars",0,
159,259,Male,4674,Light,3,"Cap Forward,Earring,Eye Mask",0,
160,260,Male,3167,Dark,2,"3D Glasses,Purple Hair",0,
161,261,Female,1319,Dark,2,"Black Lipstick,Wild White Hair",0,
162,262,Female,1167,Dark,2,"Blonde Short,Regular Shades",0,
163,263,Male,7741,Albino,2,"Messy Hair,Muttonchops",0,
164,264,Female,1339,Albino,2,"Earring,Wild White Hair",1,Earring
165,265,Male,3391,Dark,3,"Cap Forward,Earring,Gold Chain",0,
166,266,Male,7435,Dark,3,"Do-rag,Earring,Small Shades",0,
167,267,Male,3748,Dark,2,"Clown Nose,Fedora",0,
168,268,Female,8052,Light,1,Knitted Cap,0,
169,269,Male,4840,Dark,4,"Earring,Hoodie,Luxurious Beard,Small Shades",1,Earring
170,270,Female,2221,Mid,2,"Clown Eyes Blue,Red Mohawk",0,
171,271,Male,8109,Mid,1,Stringy Hair,0,
172,272,Male,393,Mid,2,"Buck Teeth,Messy Hair",0,
173,273,Male,4761,Light,2,"Big Shades,Cap Forward",0,
174,274,Male,5512,Light,4,"Cap,Earring,Handlebars,Regular Shades",0,
175,275,Female,5432,Mid,3,"Purple Eye Shadow,Purple Lipstick,Stringy Hair",0,
176,276,Female,8044,Light,1,Crazy Hair,0,
177,277,Female,2162,Light,1,Red Mohawk,0,
178,278,Female,2661,Albino,2,"Black Lipstick,Straight Hair Dark",0,
179,279,Female,1527,Mid,3,"Blue Eye Shadow,Purple Lipstick,Straight Hair Blonde",0,
180,280,Male,4538,Albino,1,Earring,0,
181,281,Male,7,Light,0,,0,
182,282,Female,2601,Albino,2,"Classic Shades,Straight Hair Dark",0,
183,283,Female,9453,Light,2,"Frumpy Hair,Hot Lipstick",0,
184,284,Male,8067,Albino,1,Mohawk Thin,0,
185,285,Female,3101,Light,2,"Dark Hair,Purple Lipstick",0,
186,286,Male,7336,Albino,2,"Goat,Wild Hair",0,
187,287,Female,5391,Albino,3,"Cigarette,Mohawk,Purple Eye Shadow",0,
188,288,Male,7419,Albino,1,Shaved Head,0,
189,289,Female,9091,Mid,2,"Eye Patch,Mohawk Thin",0,
190,290,Female,1591,Mid,1,Wild Blonde,0,
191,291,Male,9340,Mid,2,"Earring,Mohawk Thin",0,
192,292,Female,3716,Light,2,"Black Lipstick,Tassle Hat",0,
193,293,Male,5565,Light,2,"Handlebars,Mohawk Dark",0,
194,294,Male,4980,Dark,3,"Big Shades,Earring,Hoodie",1,Earring
195,295,Male,5236,Mid,2,"Frown,Shaved Head",0,
196,296,Male,8078,Mid,1,Mohawk Thin,0,
197,297,Male,7686,Mid,2,"Crazy Hair,Muttonchops",0,
198,298,Female,2163,Light,1,Half Shaved,0,
199,299,Male,7389,Dark,2,"Do-rag,Muttonchops",0,
200,300,Male,7277,Light,2,"Goat,Headband",0,
201,301,Female,2014,Albino,3,"Green Eye Shadow,Hot Lipstick,Red Mohawk",0,
202,302,Female,5717,Mid,3,"Bandana,Blue Eye Shadow,Purple Lipstick",0,
203,303,Female,2379,Dark,2,"Purple Lipstick,Red Mohawk",0,
204,304,Male,7793,Mid,2,"Peak Spike,Shadow Beard",0,
205,305,Female,2144,Albino,3,"Blonde Bob,Purple Lipstick,VR",0,
206,306,Female,5939,Light,2,"Vape,Wild Hair",0,
207,307,Male,6231,Mid,2,"Chinstrap,Frumpy Hair",0,
208,308,Male,9646,Light,3,"Horned Rim Glasses,Messy Hair,Mole",0,
209,309,Male,7559,Mid,2,"Big Shades,Shaved Head",0,
210,310,Male,5949,Dark,4,"Bandana,Classic Shades,Earring,Vape",0,
211,311,Male,6067,Light,2,"Front Beard,Frumpy Hair",0,
212,312,Male,4628,Light,2,"Cap Forward,Chinstrap",0,
213,313,Female,9052,Light,2,"Mohawk Dark,Purple Lipstick",0,
214,314,Male,3996,Albino,2,"Eye Mask,Police Cap",0,
215,315,Female,1317,Mid,3,"Black Lipstick,Cigarette,Wild White Hair",0,
216,316,Female,8112,Dark,1,Bandana,0,
217,317,Male,5192,Mid,3,"Bandana,Chinstrap,Frown",0,
218,318,Female,9975,Albino,3,"Bandana,Cigarette,Hot Lipstick",0,
219,319,Female,2705,Light,2,"Earring,Straight Hair Dark",1,Earring
220,320,Male,8105,Dark,1,Stringy Hair,0,
221,321,Male,7636,Mid,1,Peak Spike,0,
222,322,Female,695,Mid,3,"Black Lipstick,Clown Eyes Green,Pink With Hat",0,
223,323,Male,8059,Dark,1,Mohawk Dark,0,
224,324,Female,2392,Albino,3,"Blonde Bob,Earring,Hot Lipstick",1,Earring
225,325,Male,3972,Dark,3,"Mustache,Police Cap,Small Shades",0,
226,326,Female,1333,Dark,3,"Earring,Hot Lipstick,Wild White Hair",1,Earring
227,327,Male,8041,Albino,1,Crazy Hair,0,
228,328,Male,9931,Light,2,"Bandana,Horned Rim Glasses",0,
229,329,Female,9757,Mid,2,"Bandana,Eye Patch",0,
230,330,Male,8358,Mid,2,"Clown Eyes Green,Knitted Cap",0,
231,331,Female,3722,Albino,3,"Earring,Purple Lipstick,Tassle Hat",1,Earring
232,332,Male,9803,Dark,2,"Horned Rim Glasses,Stringy Hair",0,
233,333,Female,1503,Light,3,"Purple Eye Shadow,Purple Lipstick,Straight Hair Blonde",0,
234,334,Male,1865,Dark,2,"Big Beard,Wild Hair",0,
235,335,Male,2561,Mid,1,Clown Hair Green,0,
236,336,Male,807,Mid,3,"Nerd Glasses,Normal Beard,Top Hat",0,
237,337,Male,8085,Mid,1,Frumpy Hair,0,
238,338,Male,8310,Light,2,"Messy Hair,Small Shades",0,
239,339,Female,3361,Albino,5,"Big Shades,Black Lipstick,Cap,Earring,Mole",0,
240,340,Male,3516,Mid,4,"3D Glasses,Headband,Medical Mask,Muttonchops",0,
241,341,Female,9734,Light,2,"Earring,Messy Hair",0,
242,342,Female,9907,Light,2,"Bandana,Regular Shades",0,
243,343,Male,4049,Light,2,"Police Cap,Shadow Beard",0,
244,344,Male,75,Dark,1,Beanie,0,
245,345,Female,3744,Mid,2,"Earring,Tassle Hat",1,Earring
246,346,Male,3218,Mid,1,Purple Hair,0,
247,347,Male,8900,Mid,2,"Horned Rim Glasses,Knitted Cap",0,
248,348,Female,1084,Light,3,"Messy Hair,Nerd Glasses,Rosy Cheeks",0,
249,349,Male,5112,Dark,3,"Earring,Front Beard Dark,Mohawk Dark",0,
250,350,Female,8108,Mid,1,Stringy Hair,0,
251,351,Male,3194,Light,3,"Goat,Mole,Purple Hair",0,
252,352,Female,2759,Mid,2,"Green Eye Shadow,Straight Hair",0,
253,353,Female,5832,Light,2,"Bandana,Green Eye Shadow",0,
254,354,Male,4072,Albino,2,"Cigarette,Police Cap",0,
255,355,Female,1220,Albino,4,"Black Lipstick,Gold Chain,Green Eye Shadow,Wild White Hair",0,
256,356,Male,8107,Light,1,Stringy Hair,0,
257,357,Female,3742,Dark,2,"Earring,Tassle Hat",1,Earring
258,358,Male,6373,Light,3,"Luxurious Beard,Mohawk,Small Shades",0,
259,359,Female,9713,Albino,2,"Hot Lipstick,Messy Hair",0,
260,360,Male,6902,Mid,2,"Bandana,Normal Beard Black",0,
261,361,Male,8063,Mid,1,Mohawk Dark,0,
262,362,Male,7104,Mid,3,"Eye Mask,Peak Spike,Shadow Beard",0,
263,363,Male,1452,Albino,3,"Cowboy Hat,Nerd Glasses,Shadow Beard",0,
264,364,Male,4874,Albino,2,"Hoodie,Normal Beard Black",0,
265,365,Male,6922,Light,2,"Do-rag,Normal Beard",0,
266,366,Male,7157,Mid,3,"Earring,Eye Mask,Mohawk",0,
267,367,Male,2557,Dark,1,Clown Hair Green,0,
268,368,Female,9449,Mid,2,"Frumpy Hair,Purple Lipstick",0,
269,369,Male,3801,Light,3,"Earring,Fedora,Luxurious Beard",0,
270,370,Male,1050,Dark,4,"Cigarette,Peak Spike,Rosy Cheeks,Small Shades",0,
271,371,Female,8084,Mid,1,Frumpy Hair,0,
272,372,Ape,36,Ape,1,Cap Forward,0,
273,373,Male,8707,Dark,2,"Earring,Headband",0,
274,374,Female,8599,Dark,2,"Bandana,Clown Eyes Blue",0,
275,375,Female,5804,Light,2,"Green Eye Shadow,Wild Hair",0,
276,376,Female,2329,Light,2,"Half Shaved,Nerd Glasses",0,
277,377,Male,3353,Albino,5,"Cigarette,Earring,Headband,Normal Beard,Regular Shades",0,
278,378,Female,9466,Dark,2,"Earring,Frumpy Hair",1,Earring
279,379,Female,9283,Light,3,"Earring,Mohawk Thin,Purple Lipstick",0,
280,380,Female,9560,Light,3,"Black Lipstick,Earring,Wild Hair",1,Earring
281,381,Female,8926,Light,2,"Knitted Cap,Purple Lipstick",0,
282,382,Female,194,Light,2,"Cigarette,Pilot Helmet",0,
283,383,Female,1554,Mid,2,"Green Eye Shadow,Straight Hair Blonde",0,
284,384,Female,9879,Mid,3,"Bandana,Classic Shades,Purple Lipstick",0,
285,385,Female,139,Mid,2,"Choker,Wild Hair",0,
286,386,Male,7599,Mid,2,"Do-rag,Earring",0,
287,387,Male,3387,Mid,3,"Cap Forward,Gold Chain,Pipe",0,
288,388,Female,1618,Mid,3,"Clown Eyes Blue,Hot Lipstick,Straight Hair Blonde",0,
289,389,Male,1048,Light,2,"Do-rag,Rosy Cheeks",0,
290,390,Female,8098,Light,1,Messy Hair,0,
291,391,Female,1569,Dark,3,"Black Lipstick,Eye Mask,Wild Blonde",0,
292,392,Male,7426,Mid,1,Shaved Head,0,
293,393,Male,4700,Light,3,"Cap Forward,Cigarette,VR",0,
