,types,rarity,skin,total_traits,traits,total_hidden_traits,hidden_traits
138,Male,9806,Light,2,"Horned Rim Glasses,Stringy Hair",0,
139,Male,7470,Mid,2,"Do-rag,Eye Patch",0,
140,Female,4532,Dark,1,Hot Lipstick,0,
141,Male,6115,Dark,3,"3D Glasses,Chinstrap,Headband",0,
142,Male,9168,Light,2,"Mohawk,Regular Shades",0,
143,Male,91,Light,2,"Beanie,Horned Rim Glasses",0,
144,Male,6479,Dark,3,"Cigarette,Frumpy Hair,Luxurious Beard",0,
145,Male,8091,Light,1,Wild Hair,0,
146,Male,9335,Light,2,"Earring,Mohawk",0,
147,Male,9158,Albino,2,"Mohawk Thin,Regular Shades",0,
148,Male,4935,Mid,1,Hoodie,0,
149,Male,6522,Light,3,"Big Shades,Luxurious Beard,Messy Hair",0,
150,Female,4578,Mid,2,"Earring,Purple Lipstick",0,
151,Male,8015,Mid,2,"Stringy Hair,VR",0,
152,Male,8371,Light,2,"Clown Eyes Green,Mohawk Dark",0,
153,Male,7120,Mid,3,"Cap,Earring,Eye Mask",0,
154,Male,4969,Dark,3,"Earring,Hoodie,Shadow Beard",1,Earring
155,Male,2455,Dark,2,"Clown Hair Green,Clown Nose",0,
156,Male,4715,Dark,2,"Cap Forward,Small Shades",0,
157,Male,8237,Mid,2,"Cap,Cigarette",0,
158,Male,7330,Light,3,"Goat,Regular Shades,Wild Hair",0,
159,Male,9873,Light,2,"Earring,Stringy Hair",0,
160,Female,612,Mid,3,"Clown Eyes Blue,Pigtails,Purple Lipstick",0,
161,Female,9452,Dark,2,"Frumpy Hair,Hot Lipstick",0,
162,Male,6860,Mid,3,"Frumpy Hair,Horned Rim Glasses,Normal Beard Black",0,
163,Male,7466,Dark,2,"Eye Patch,Shaved Head",0,
164,Female,8014,Mid,2,"Stringy Hair,VR",0,
165,Male,5111,Mid,3,"Cigarette,Front Beard Dark,Mohawk Dark",0,
166,Male,7528,Dark,2,"Regular Shades,Shaved Head",0,
167,Female,8698,Mid,2,"Headband,Hot Lipstick",0,
168,Female,1880,Light,3,"Blonde Bob,Blue Eye Shadow,Silver Chain",0,
169,Female,1299,Mid,3,"Hot Lipstick,Regular Shades,Wild White Hair",0,
170,Male,7775,Light,3,"Classic Shades,Mole,Peak Spike",0,
171,Male,9837,Mid,3,"Earring,Mole,Stringy Hair",0,
172,Female,2068,Mid,3,"3D Glasses,Blonde Bob,Purple Lipstick",0,
173,Female,3360,Dark,5,"Clown Eyes Blue,Hot Lipstick,Messy Hair,Mole,Pipe",0,
174,Male,9534,Dark,3,"Earring,Horned Rim Glasses,Wild Hair",0,
175,Male,8197,Mid,2,"Big Shades,Cap",0,
176,Female,9512,Dark,4,"Earring,Purple Lipstick,Regular Shades,Wild Hair",1,Earring
177,Male,6561,Dark,2,"Bandana,Luxurious Beard",0,
178,Male,3855,Mid,1,Fedora,0,
179,Male,9095,Albino,3,"Classic Shades,Mohawk Thin,Shadow Beard",0,
180,Female,189,Dark,2,"Hot Lipstick,Pilot Helmet",0,
181,Male,8071,Dark,1,Mohawk,0,
182,Male,7633,Albino,1,Peak Spike,0,
183,Male,4507,Light,1,Shadow Beard,0,
184,Female,2025,Dark,2,"Blonde Bob,Green Eye Shadow",0,
185,Female,1334,Light,2,"Hot Lipstick,Wild White Hair",0,
186,Male,6642,Dark,2,"Crazy Hair,Mustache",0,
187,Female,2777,Light,1,Straight Hair,0,
188,Male,7815,Dark,3,"Earring,Nerd Glasses,Peak Spike",0,
189,Female,9288,Light,2,"Mohawk Thin,Purple Lipstick",0,
190,Male,8035,Dark,1,Headband,0,
191,Female,8068,Dark,1,Mohawk,0,
192,Male,4170,Mid,4,"Clown Nose,Earring,Mohawk Thin,Nerd Glasses",0,
193,Female,3623,Light,3,"Earring,Green Eye Shadow,Tassle Hat",1,Earring
194,Male,8423,Light,2,"Clown Eyes Green,Wild Hair",0,
195,Female,1687,Light,2,"Nerd Glasses,Straight Hair Blonde",0,
196,Female,3695,Light,3,"Big Shades,Hot Lipstick,Tassle Hat",0,
197,Male,9348,Dark,2,"Eye Patch,Frumpy Hair",0,
198,Male,68,Mid,2,"Beanie,Luxurious Beard",0,
199,Female,1161,Light,2,"Blonde Short,Classic Shades",0,
200,Female,8088,Dark,1,Wild Hair,0,
201,Female,2996,Mid,4,"Blue Eye Shadow,Cigarette,Dark Hair,Hot Lipstick",0,
202,Female,8691,Light,3,"Earring,Headband,Purple Lipstick",0,
203,Male,6082,Light,3,"Front Beard,Messy Hair,Regular Shades",0,
204,Male,8749,Mid,2,"Crazy Hair,Regular Shades",0,
205,Male,6829,Mid,3,"Big Shades,Mohawk Dark,Normal Beard Black",0,
206,Male,4087,Light,3,"Cap Forward,Cigarette,Clown Nose",0,
207,Male,7616,Light,3,"Eye Patch,Peak Spike,Pipe",0,
208,Male,6321,Mid,3,"3D Glasses,Earring,Shaved Head",0,
209,Female,9856,Dark,2,"Hot Lipstick,Stringy Hair",0,
210,Female,2708,Mid,2,"Earring,Straight Hair Dark",1,Earring
211,Male,7320,Dark,2,"Goat,Mohawk Thin",0,
212,Female,8822,Dark,2,"Crazy Hair,Hot Lipstick",0,
213,Female,8046,Mid,1,Crazy Hair,0,
214,Male,5128,Dark,2,"Front Beard Dark,Mohawk",0,
215,Female,8076,Mid,1,Mohawk,0,
216,Male,8117,Mid,1,Bandana,0,
217,Male,6210,Mid,3,"Chinstrap,Earring,Mohawk Dark",0,
218,Male,5511,Light,4,"Cap,Handlebars,Mole,Regular Shades",0,
219,Female,1062,Dark,4,"Bandana,Clown Eyes Blue,Earring,Rosy Cheeks",0,
220,Male,8652,Albino,2,"Big Shades,Headband",0,
221,Male,7758,Dark,4,"Cigarette,Classic Shades,Muttonchops,Stringy Hair",0,
222,Male,7395,Light,3,"Do-rag,Pipe,Small Shades",0,
223,Male,6982,Light,3,"Crazy Hair,Nerd Glasses,Normal Beard",0,
224,Male,8669,Light,4,"Cigarette,Earring,Headband,Nerd Glasses",0,
225,Female,311,Mid,3,"Earring,Hot Lipstick,Orange Side",1,Earring
226,Female,4534,Mid,1,Hot Lipstick,0,
227,Female,1270,Mid,1,Wild White Hair,0,
228,Male,7663,Mid,2,"Peak Spike,Small Shades",0,
229,Male,9727,Light,2,"Cigarette,Messy Hair",0,
230,Male,6429,Dark,2,"Knitted Cap,Luxurious Beard",0,
231,Female,7915,Mid,3,"Earring,Pipe,Stringy Hair",0,
232,Female,5688,Dark,2,"Blue Eye Shadow,Wild Hair",0,
233,Female,9978,Albino,2,"Bandana,Hot Lipstick",0,
234,Male,8910,Light,2,"Knitted Cap,Nerd Glasses",0,
235,Male,9461,Light,2,"Cigarette,Frumpy Hair",0,
236,Male,2121,Light,2,"Muttonchops,Vampire Hair",0,
237,Male,9165,Dark,2,"Mohawk,Regular Shades",0,
238,Female,2577,Mid,2,"Clown Eyes Green,Straight Hair Dark",0,
239,Male,5213,Dark,3,"Frown,Goat,Mohawk",0,
240,Female,1674,Mid,2,"Big Shades,Straight Hair Blonde",0,
241,Female,1590,Light,1,Wild Blonde,0,
242,Female,9827,Dark,2,"Black Lipstick,Stringy Hair",0,
243,Male,3947,Light,4,"Cigarette,Earring,Front Beard,Police Cap",0,
244,Female,9513,Light,3,"Purple Lipstick,Regular Shades,Wild Hair",0,
245,Female,3025,Dark,1,Dark Hair,0,
246,Male,6555,Albino,3,"Bandana,Earring,Luxurious Beard",0,
247,Female,5762,Dark,2,"Green Eye Shadow,Mohawk Dark",0,
248,Female,5424,Dark,2,"Messy Hair,Purple Eye Shadow",0,
249,Female,280,Light,1,Orange Side,0,
250,Female,8409,Mid,3,"Clown Eyes Green,Earring,Frumpy Hair",1,Earring
251,Female,5763,Light,2,"Green Eye Shadow,Mohawk Dark",0,
252,Male,4772,Albino,2,"Cap Forward,Mole",0,
253,Female,1145,Dark,2,"Blonde Short,Clown Eyes Green",0,
254,Male,3854,Light,1,Fedora,0,
255,Male,6584,Light,2,"Mustache,Shaved Head",0,
256,Male,3781,Dark,4,"Earring,Eye Patch,Fedora,Vape",0,
257,Male,5261,Light,2,"Cap,Frown",0,
258,Male,4604,Mid,2,"Cap Forward,Handlebars",0,
259,Male,4674,Light,3,"Cap Forward,Earring,Eye Mask",0,
260,Male,3167,Dark,2,"3D Glasses,Purple Hair",0,
261,Female,1319,Dark,2,"Black Lipstick,Wild White Hair",0,
262,Female,1167,Dark,2,"Blonde Short,Regular Shades",0,
263,Male,7741,Albino,2,"Messy Hair,Muttonchops",0,
264,Female,1339,Albino,2,"Earring,Wild White Hair",1,Earring
265,Male,3391,Dark,3,"Cap Forward,Earring,Gold Chain",0,
266,Male,7435,Dark,3,"Do-rag,Earring,Small Shades",0,
267,Male,3748,Dark,2,"Clown Nose,Fedora",0,
268,Female,8052,Light,1,Knitted Cap,0,
269,Male,4840,Dark,4,"Earring,Hoodie,Luxurious Beard,Small Shades",1,Earring
270,Female,2221,Mid,2,"Clown Eyes Blue,Red Mohawk",0,
271,Male,8109,Mid,1,Stringy Hair,0,
272,Male,393,Mid,2,"Buck Teeth,Messy Hair",0,
273,Male,4761,Light,2,"Big Shades,Cap Forward",0,
274,Male,5512,Light,4,"Cap,Earring,Handlebars,Regular Shades",0,
275,Female,5432,Mid,3,"Purple Eye Shadow,Purple Lipstick,Stringy Hair",0,
276,Female,8044,Light,1,Crazy Hair,0,
277,Female,2162,Light,1,Red Mohawk,0,
278,Female,2661,Albino,2,"Black Lipstick,Straight Hair Dark",0,
279,Female,1527,Mid,3,"Blue Eye Shadow,Purple Lipstick,Straight Hair Blonde",0,
280,Male,4538,Albino,1,Earring,0,
281,Male,7,Light,0,,0,
282,Female,2601,Albino,2,"Classic Shades,Straight Hair Dark",0,
283,Female,9453,Light,2,"Frumpy Hair,Hot Lipstick",0,
284,Male,8067,Albino,1,Mohawk Thin,0,
285,Female,3101,Light,2,"Dark Hair,Purple Lipstick",0,
286,Male,7336,Albino,2,"Goat,Wild Hair",0,
287,Female,5391,Albino,3,"Cigarette,Mohawk,Purple Eye Shadow",0,
288,Male,7419,Albino,1,Shaved Head,0,
289,Female,9091,Mid,2,"Eye Patch,Mohawk Thin",0,
290,Female,1591,Mid,1,Wild Blonde,0,
291,Male,9340,Mid,2,"Earring,Mohawk Thin",0,
292,Female,3716,Light,2,"Black Lipstick,Tassle Hat",0,
293,Male,5565,Light,2,"Handlebars,Mohawk Dark",0,
294,Male,4980,Dark,3,"Big Shades,Earring,Hoodie",1,Earring
295,Male,5236,Mid,2,"Frown,Shaved Head",0,
296,Male,8078,Mid,1,Mohawk Thin,0,
297,Male,7686,Mid,2,"Crazy Hair,Muttonchops",0,
298,Female,2163,Light,1,Half Shaved,0,
299,Male,7389,Dark,2,"Do-rag,Muttonchops",0,
300,Male,7277,Light,2,"Goat,Headband",0,
301,Female,2014,Albino,3,"Green Eye Shadow,Hot Lipstick,Red Mohawk",0,
302,Female,5717,Mid,3,"Bandana,Blue Eye Shadow,Purple Lipstick",0,
303,Female,2379,Dark,2,"Purple Lipstick,Red Mohawk",0,
304,Male,7793,Mid,2,"Peak Spike,Shadow Beard",0,
305,Female,2144,Albino,3,"Blonde Bob,Purple Lipstick,VR",0,
306,Female,5939,Light,2,"Vape,Wild Hair",0,
307,Male,6231,Mid,2,"Chinstrap,Frumpy Hair",0,
308,Male,9646,Light,3,"Horned Rim Glasses,Messy Hair,Mole",0,
309,Male,7559,Mid,2,"Big Shades,Shaved Head",0,
310,Male,5949,Dark,4,"Bandana,Classic Shades,Earring,Vape",0,
311,Male,6067,Light,2,"Front Beard,Frumpy Hair",0,
312,Male,4628,Light,2,"Cap Forward,Chinstrap",0,
313,Female,9052,Light,2,"Mohawk Dark,Purple Lipstick",0,
314,Male,3996,Albino,2,"Eye Mask,Police Cap",0,
315,Female,1317,Mid,3,"Black Lipstick,Cigarette,Wild White Hair",0,
316,Female,8112,Dark,1,Bandana,0,
317,Male,5192,Mid,3,"Bandana,Chinstrap,Frown",0,
318,Female,9975,Albino,3,"Bandana,Cigarette,Hot Lipstick",0,
319,Female,2705,Light,2,"Earring,Straight Hair Dark",1,Earring
320,Male,8105,Dark,1,Stringy Hair,0,
321,Male,7636,Mid,1,Peak Spike,0,
322,Female,695,Mid,3,"Black Lipstick,Clown Eyes Green,Pink With Hat",0,
323,Male,8059,Dark,1,Mohawk Dark,0,
324,Female,2392,Albino,3,"Blonde Bob,Earring,Hot Lipstick",1,Earring
325,Male,3972,Dark,3,"Mustache,Police Cap,Small Shades",0,
326,Female,1333,Dark,3,"Earring,Hot Lipstick,Wild White Hair",1,Earring
327,Male,8041,Albino,1,Crazy Hair,0,
328,Male,9931,Light,2,"Bandana,Horned Rim Glasses",0,
329,Female,9757,Mid,2,"Bandana,Eye Patch",0,
330,Male,8358,Mid,2,"Clown Eyes Green,Knitted Cap",0,
331,Female,3722,Albino,3,"Earring,Purple Lipstick,Tassle Hat",1,Earring
332,Male,9803,Dark,2,"Horned Rim Glasses,Stringy Hair",0,
333,Female,1503,Light,3,"Purple Eye Shadow,Purple Lipstick,Straight Hair Blonde",0,
334,Male,1865,Dark,2,"Big Beard,Wild Hair",0,
335,Male,2561,Mid,1,Clown Hair Green,0,
336,Male,807,Mid,3,"Nerd Glasses,Normal Beard,Top Hat",0,
337,Male,8085,Mid,1,Frumpy Hair,0,
338,Male,8310,Light,2,"Messy Hair,Small Shades",0,
339,Female,3361,Albino,5,"Big Shades,Black Lipstick,Cap,Earring,Mole",0,
340,Male,3516,Mid,4,"3D Glasses,Headband,Medical Mask,Muttonchops",0,
341,Female,9734,Light,2,"Earring,Messy Hair",0,
342,Female,9907,Light,2,"Bandana,Regular Shades",0,
343,Male,4049,Light,2,"Police Cap,Shadow Beard",0,
344,Male,75,Dark,1,Beanie,0,
345,Female,3744,Mid,2,"Earring,Tassle Hat",1,Earring
346,Male,3218,Mid,1,Purple Hair,0,
347,Male,8900,Mid,2,"Horned Rim Glasses,Knitted Cap",0,
348,Female,1084,Light,3,"Messy Hair,Nerd Glasses,Rosy Cheeks",0,
349,Male,5112,Dark,3,"Earring,Front Beard Dark,Mohawk Dark",0,
350,Female,8108,Mid,1,Stringy Hair,0,
351,Male,3194,Light,3,"Goat,Mole,Purple Hair",0,
352,Female,2759,Mid,2,"Green Eye Shadow,Straight Hair",0,
353,Female,5832,Light,2,"Bandana,Green Eye Shadow",0,
354,Male,4072,Albino,2,"Cigarette,Police Cap",0,
355,Female,1220,Albino,4,"Black Lipstick,Gold Chain,Green Eye Shadow,Wild White Hair",0,
356,Male,8107,Light,1,Stringy Hair,0,
357,Female,3742,Dark,2,"Earring,Tassle Hat",1,Earring
358,Male,6373,Light,3,"Luxurious Beard,Mohawk,Small Shades",0,
359,Female,9713,Albino,2,"Hot Lipstick,Messy Hair",0,
360,Male,6902,Mid,2,"Bandana,Normal Beard Black",0,
361,Male,8063,Mid,1,Mohawk Dark,0,
362,Male,7104,Mid,3,"Eye Mask,Peak Spike,Shadow Beard",0,
363,Male,1452,Albino,3,"Cowboy Hat,Nerd Glasses,Shadow Beard",0,
364,Male,4874,Albino,2,"Hoodie,Normal Beard Black",0,
365,Male,6922,Light,2,"Do-rag,Normal Beard",0,
366,Male,7157,Mid,3,"Earring,Eye Mask,Mohawk",0,
367,Male,2557,Dark,1,Clown Hair Green,0,
368,Female,9449,Mid,2,"Frumpy Hair,Purple Lipstick",0,
369,Male,3801,Light,3,"Earring,Fedora,Luxurious Beard",0,
370,Male,1050,Dark,4,"Cigarette,Peak Spike,Rosy Cheeks,Small Shades",0,
371,Female,8084,Mid,1,Frumpy Hair,0,
372,Ape,36,Ape,1,Cap Forward,0,
373,Male,8707,Dark,2,"Earring,Headband",0,
374,Female,8599,Dark,2,"Bandana,Clown Eyes Blue",0,
375,Female,5804,Light,2,"Green Eye Shadow,Wild Hair",0,
376,Female,2329,Light,2,"Half Shaved,Nerd Glasses",0,
377,Male,3353,Albino,5,"Cigarette,Earring,Headband,Normal Beard,Regular Shades",0,
378,Female,9466,Dark,2,"Earring,Frumpy Hair",1,Earring
379,Female,9283,Light,3,"Earring,Mohawk Thin,Purple Lipstick",0,
380,Female,9560,Light,3,"Black Lipstick,Earring,Wild Hair",1,Earring
381,Female,8926,Light,2,"Knitted Cap,Purple Lipstick",0,
382,Female,194,Light,2,"Cigarette,Pilot Helmet",0,
383,Female,1554,Mid,2,"Green Eye Shadow,Straight Hair Blonde",0,
384,Female,9879,Mid,3,"Bandana,Classic Shades,Purple Lipstick",0,
385,Female,139,Mid,2,"Choker,Wild Hair",0,
386,Male,7599,Mid,2,"Do-rag,Earring",0,
387,Male,3387,Mid,3,"Cap Forward,Gold Chain,Pipe",0,
388,Female,1618,Mid,3,"Clown Eyes Blue,Hot Lipstick,Straight Hair Blonde",0,
389,Male,1048,Light,2,"Do-rag,Rosy Cheeks",0,
390,Female,8098,Light,1,Messy Hair,0,
391,Female,1569,Dark,3,"Black Lipstick,Eye Mask,Wild Blonde",0,
392,Male,7426,Mid,1,Shaved Head,0,
393,Male,4700,Light,3,"Cap Forward,Cigarette,VR",0,
394,Female,749,Light,2,"Earring,Pink With Hat",1,Earring
395,Male,4669,Light,3,"Cap Forward,Earring,Normal Beard",0,
396,Female,1592,Mid,1,Straight Hair Blonde,0,
397,Male,1432,Mid,1,Cowboy Hat,0,
398,Male,8113,Dark,1,Bandana,0,
399,Male,3221,Dark,2,"Purple Hair,Small Shades",0,
400,Female,1945,Mid,3,"Blonde Bob,Purple Eye Shadow,Purple Lipstick",0,
401,Male,1859,Dark,3,"Big Beard,Earring,Frumpy Hair",0,
402,Male,5129,Dark,2,"Front Beard Dark,Mohawk Thin",0,
403,Male,2604,Dark,2,"Classic Shades,Clown Hair Green",0,
404,Female,257,Light,3,"Cigarette,Orange Side,Silver Chain",0,
405,Female,8100,Mid,1,Messy Hair,0,
406,Male,4989,Dark,2,"Hoodie,Nerd Glasses",0,
407,Female,1713,Light,3,"Earring,Purple Lipstick,Wild Blonde",0,
408,Male,4707,Dark,1,Cap Forward,0,
409,Female,8916,Light,2,"Black Lipstick,Knitted Cap",0,
410,Male,8608,Albino,2,"Eye Patch,Headband",0,
411,Female,8549,Light,3,"Black Lipstick,Clown Eyes Blue,Wild Hair",0,
412,Male,3231,Albino,3,"Classic Shades,Earring,Purple Hair",1,Earring
413,Female,2775,Albino,1,Straight Hair,0,
414,Male,841,Light,3,"Earring,Shadow Beard,Top Hat",0,
415,Male,3925,Light,4,"Frown,Mole,Police Cap,Small Shades",0,
416,Male,4229,Dark,3,"Cigarette,Hoodie,Smile",0,
417,Female,2555,Dark,1,Straight Hair Dark,0,
