,types,rarity,skin,total_traits,traits
154,Male,4969,Dark,3,"Earring,Hoodie,Shadow Beard,Hidden Earring"
155,Male,2455,Dark,2,"Clown Hair Green,Clown Nose"
156,Male,4715,Dark,2,"Cap Forward,Small Shades"
157,Male,8237,Mid,2,"Cap,Cigarette"
158,Male,7330,Light,3,"Goat,Regular Shades,Wild Hair"
159,Male,9873,Light,2,"Earring,Stringy Hair"
160,Female,612,Mid,3,"Clown Eyes Blue,Pigtails,Purple Lipstick"
161,Female,9452,Dark,2,"Frumpy Hair,Hot Lipstick"
162,Male,6860,Mid,3,"Frumpy Hair,Horned Rim Glasses,Normal Beard Black"
163,Male,7466,Dark,2,"Eye Patch,Shaved Head"
164,Female,8014,Mid,2,"Stringy Hair,VR"
165,Male,5111,Mid,3,"Cigarette,Front Beard Dark,Mohawk Dark"
166,Male,7528,Dark,2,"Regular Shades,Shaved Head"
167,Female,8698,Mid,2,"Headband,Hot Lipstick"
168,Female,1880,Light,3,"Blonde Bob,Blue Eye Shadow,Silver Chain"
169,Female,1299,Mid,3,"Hot Lipstick,Regular Shades,Wild White Hair"
170,Male,7775,Light,3,"Classic Shades,Mole,Peak Spike"
171,Male,9837,Mid,3,"Earring,Mole,Stringy Hair"
172,Female,2068,Mid,3,"3D Glasses,Blonde Bob,Purple Lipstick"
173,Female,3360,Dark,5,"Clown Eyes Blue,Hot Lipstick,Messy Hair,Mole,Pipe"
174,Male,9534,Dark,3,"Earring,Horned Rim Glasses,Wild Hair"
175,Male,8197,Mid,2,"Big Shades,Cap"
176,Female,9512,Dark,4,"Earring,Purple Lipstick,Regular Shades,Wild Hair,Hidden Earring"
177,Male,6561,Dark,2,"Bandana,Luxurious Beard"
178,Male,3855,Mid,1,Fedora
179,Male,9095,Albino,3,"Classic Shades,Mohawk Thin,Shadow Beard"
180,Female,189,Dark,2,"Hot Lipstick,Pilot Helmet"
181,Male,8071,Dark,1,Mohawk
182,Male,7633,Albino,1,Peak Spike
183,Male,4507,Light,1,Shadow Beard
184,Female,2025,Dark,2,"Blonde Bob,Green Eye Shadow"
185,Female,1334,Light,2,"Hot Lipstick,Wild White Hair"
186,Male,6642,Dark,2,"Crazy Hair,Mustache"
187,Female,2777,Light,1,Straight Hair
188,Male,7815,Dark,3,"Earring,Nerd Glasses,Peak Spike"
189,Female,9288,Light,2,"Mohawk Thin,Purple Lipstick"
190,Male,8035,Dark,1,Headband
191,Female,8068,Dark,1,Mohawk
192,Male,4170,Mid,4,"Clown Nose,Earring,Mohawk Thin,Nerd Glasses"
193,Female,3623,Light,3,"Earring,Green Eye Shadow,Tassle Hat,Hidden Earring"
194,Male,8423,Light,2,"Clown Eyes Green,Wild Hair"
195,Female,1687,Light,2,"Nerd Glasses,Straight Hair Blonde"
196,Female,3695,Light,3,"Big Shades,Hot Lipstick,Tassle Hat"
197,Male,9348,Dark,2,"Eye Patch,Frumpy Hair"
198,Male,68,Mid,2,"Beanie,Luxurious Beard"
199,Female,1161,Light,2,"Blonde Short,Classic Shades"
200,Female,8088,Dark,1,Wild Hair
201,Female,2996,Mid,4,"Blue Eye Shadow,Cigarette,Dark Hair,Hot Lipstick"
202,Female,8691,Light,3,"Earring,Headband,Purple Lipstick"
203,Male,6082,Light,3,"Front Beard,Messy Hair,Regular Shades"
204,Male,8749,Mid,2,"Crazy Hair,Regular Shades"
205,Male,6829,Mid,3,"Big Shades,Mohawk Dark,Normal Beard Black"
206,Male,4087,Light,3,"Cap Forward,Cigarette,Clown Nose"
207,Male,7616,Light,3,"Eye Patch,Peak Spike,Pipe"
208,Male,6321,Mid,3,"3D Glasses,Earring,Shaved Head"
209,Female,9856,Dark,2,"Hot Lipstick,Stringy Hair"
210,Female,2708,Mid,2,"Earring,Straight Hair Dark,Hidden Earring"
211,Male,7320,Dark,2,"Goat,Mohawk Thin"
212,Female,8822,Dark,2,"Crazy Hair,Hot Lipstick"
213,Female,8046,Mid,1,Crazy Hair
214,Male,5128,Dark,2,"Front Beard Dark,Mohawk"
215,Female,8076,Mid,1,Mohawk
216,Male,8117,Mid,1,Bandana
217,Male,6210,Mid,3,"Chinstrap,Earring,Mohawk Dark"
218,Male,5511,Light,4,"Cap,Handlebars,Mole,Regular Shades"
219,Female,1062,Dark,4,"Bandana,Clown Eyes Blue,Earring,Rosy Cheeks"
220,Male,8652,Albino,2,"Big Shades,Headband"
221,Male,7758,Dark,4,"Cigarette,Classic Shades,Muttonchops,Stringy Hair"
222,Male,7395,Light,3,"Do-rag,Pipe,Small Shades"
223,Male,6982,Light,3,"Crazy Hair,Nerd Glasses,Normal Beard"
224,Male,8669,Light,4,"Cigarette,Earring,Headband,Nerd Glasses"
225,Female,311,Mid,3,"Earring,Hot Lipstick,Orange Side,Hidden Earring"
226,Female,4534,Mid,1,Hot Lipstick
227,Female,1270,Mid,1,Wild White Hair
228,Male,7663,Mid,2,"Peak Spike,Small Shades"
229,Male,9727,Light,2,"Cigarette,Messy Hair"
230,Male,6429,Dark,2,"Knitted Cap,Luxurious Beard"
231,Female,7915,Mid,3,"Earring,Pipe,Stringy Hair"
232,Female,5688,Dark,2,"Blue Eye Shadow,Wild Hair"
233,Female,9978,Albino,2,"Bandana,Hot Lipstick"
234,Male,8910,Light,2,"Knitted Cap,Nerd Glasses"
235,Male,9461,Light,2,"Cigarette,Frumpy Hair"
236,Male,2121,Light,2,"Muttonchops,Vampire Hair"
237,Male,9165,Dark,2,"Mohawk,Regular Shades"
238,Female,2577,Mid,2,"Clown Eyes Green,Straight Hair Dark"
239,Male,5213,Dark,3,"Frown,Goat,Mohawk"
240,Female,1674,Mid,2,"Big Shades,Straight Hair Blonde"
241,Female,1590,Light,1,Wild Blonde
242,Female,9827,Dark,2,"Black Lipstick,Stringy Hair"
243,Male,3947,Light,4,"Cigarette,Earring,Front Beard,Police Cap"
244,Female,9513,Light,3,"Purple Lipstick,Regular Shades,Wild Hair"
245,Female,3025,Dark,1,Dark Hair
246,Male,6555,Albino,3,"Bandana,Earring,Luxurious Beard"
247,Female,5762,Dark,2,"Green Eye Shadow,Mohawk Dark"
248,Female,5424,Dark,2,"Messy Hair,Purple Eye Shadow"
249,Female,280,Light,1,Orange Side
250,Female,8409,Mid,3,"Clown Eyes Green,Earring,Frumpy Hair,Hidden Earring"
251,Female,5763,Light,2,"Green Eye Shadow,Mohawk Dark"
252,Male,4772,Albino,2,"Cap Forward,Mole"
253,Female,1145,Dark,2,"Blonde Short,Clown Eyes Green"
254,Male,3854,Light,1,Fedora
255,Male,6584,Light,2,"Mustache,Shaved Head"
256,Male,3781,Dark,4,"Earring,Eye Patch,Fedora,Vape"
257,Male,5261,Light,2,"Cap,Frown"
258,Male,4604,Mid,2,"Cap Forward,Handlebars"
259,Male,4674,Light,3,"Cap Forward,Earring,Eye Mask"
260,Male,3167,Dark,2,"3D Glasses,Purple Hair"
261,Female,1319,Dark,2,"Black Lipstick,Wild White Hair"
262,Female,1167,Dark,2,"Blonde Short,Regular Shades"
263,Male,7741,Albino,2,"Messy Hair,Muttonchops"
264,Female,1339,Albino,2,"Earring,Wild White Hair,Hidden Earring"
265,Male,3391,Dark,3,"Cap Forward,Earring,Gold Chain"
266,Male,7435,Dark,3,"Do-rag,Earring,Small Shades"
267,Male,3748,Dark,2,"Clown Nose,Fedora"
268,Female,8052,Light,1,Knitted Cap
269,Male,4840,Dark,4,"Earring,Hoodie,Luxurious Beard,Small Shades,Hidden Earring"
270,Female,2221,Mid,2,"Clown Eyes Blue,Red Mohawk"
271,Male,8109,Mid,1,Stringy Hair
272,Male,393,Mid,2,"Buck Teeth,Messy Hair"
273,Male,4761,Light,2,"Big Shades,Cap Forward"
274,Male,5512,Light,4,"Cap,Earring,Handlebars,Regular Shades"
275,Female,5432,Mid,3,"Purple Eye Shadow,Purple Lipstick,Stringy Hair"
276,Female,8044,Light,1,Crazy Hair
277,Female,2162,Light,1,Red Mohawk
278,Female,2661,Albino,2,"Black Lipstick,Straight Hair Dark"
279,Female,1527,Mid,3,"Blue Eye Shadow,Purple Lipstick,Straight Hair Blonde"
280,Male,4538,Albino,1,Earring
281,Male,7,Light,0,
282,Female,2601,Albino,2,"Classic Shades,Straight Hair Dark"
283,Female,9453,Light,2,"Frumpy Hair,Hot Lipstick"
284,Male,8067,Albino,1,Mohawk Thin
285,Female,3101,Light,2,"Dark Hair,Purple Lipstick"
286,Male,7336,Albino,2,"Goat,Wild Hair"
287,Female,5391,Albino,3,"Cigarette,Mohawk,Purple Eye Shadow"
288,Male,7419,Albino,1,Shaved Head
289,Female,9091,Mid,2,"Eye Patch,Mohawk Thin"
290,Female,1591,Mid,1,Wild Blonde
291,Male,9340,Mid,2,"Earring,Mohawk Thin"
292,Female,3716,Light,2,"Black Lipstick,Tassle Hat"
293,Male,5565,Light,2,"Handlebars,Mohawk Dark"
294,Male,4980,Dark,3,"Big Shades,Earring,Hoodie,Hidden Earring"
295,Male,5236,Mid,2,"Frown,Shaved Head"
296,Male,8078,Mid,1,Mohawk Thin
297,Male,7686,Mid,2,"Crazy Hair,Muttonchops"
298,Female,2163,Light,1,Half Shaved
299,Male,7389,Dark,2,"Do-rag,Muttonchops"
300,Male,7277,Light,2,"Goat,Headband"
301,Female,2014,Albino,3,"Green Eye Shadow,Hot Lipstick,Red Mohawk"
302,Female,5717,Mid,3,"Bandana,Blue Eye Shadow,Purple Lipstick"
303,Female,2379,Dark,2,"Purple Lipstick,Red Mohawk"
304,Male,7793,Mid,2,"Peak Spike,Shadow Beard"
305,Female,2144,Albino,3,"Blonde Bob,Purple Lipstick,VR"
306,Female,5939,Light,2,"Vape,Wild Hair"
307,Male,6231,Mid,2,"Chinstrap,Frumpy Hair"
308,Male,9646,Light,3,"Horned Rim Glasses,Messy Hair,Mole"
309,Male,7559,Mid,2,"Big Shades,Shaved Head"
310,Male,5949,Dark,4,"Bandana,Classic Shades,Earring,Vape"
311,Male,6067,Light,2,"Front Beard,Frumpy Hair"
312,Male,4628,Light,2,"Cap Forward,Chinstrap"
313,Female,9052,Light,2,"Mohawk Dark,Purple Lipstick"
314,Male,3996,Albino,2,"Eye Mask,Police Cap"
315,Female,1317,Mid,3,"Black Lipstick,Cigarette,Wild White Hair"
316,Female,8112,Dark,1,Bandana
317,Male,5192,Mid,3,"Bandana,Chinstrap,Frown"
318,Female,9975,Albino,3,"Bandana,Cigarette,Hot Lipstick"
319,Female,2705,Light,2,"Earring,Straight Hair Dark,Hidden Earring"
320,Male,8105,Dark,1,Stringy Hair
321,Male,7636,Mid,1,Peak Spike
322,Female,695,Mid,3,"Black Lipstick,Clown Eyes Green,Pink With Hat"
323,Male,8059,Dark,1,Mohawk Dark
324,Female,2392,Albino,3,"Blonde Bob,Earring,Hot Lipstick,Hidden Earring"
325,Male,3972,Dark,3,"Mustache,Police Cap,Small Shades"
326,Female,1333,Dark,3,"Earring,Hot Lipstick,Wild White Hair,Hidden Earring"
327,Male,8041,Albino,1,Crazy Hair
328,Male,9931,Light,2,"Bandana,Horned Rim Glasses"
329,Female,9757,Mid,2,"Bandana,Eye Patch"
330,Male,8358,Mid,2,"Clown Eyes Green,Knitted Cap"
331,Female,3722,Albino,3,"Earring,Purple Lipstick,Tassle Hat,Hidden Earring"
332,Male,9803,Dark,2,"Horned Rim Glasses,Stringy Hair"
333,Female,1503,Light,3,"Purple Eye Shadow,Purple Lipstick,Straight Hair Blonde"
334,Male,1865,Dark,2,"Big Beard,Wild Hair"
335,Male,2561,Mid,1,Clown Hair Green
336,Male,807,Mid,3,"Nerd Glasses,Normal Beard,Top Hat"
337,Male,8085,Mid,1,Frumpy Hair
338,Male,8310,Light,2,"Messy Hair,Small Shades"
339,Female,3361,Albino,5,"Big Shades,Black Lipstick,Cap,Earring,Mole"
340,Male,3516,Mid,4,"3D Glasses,Headband,Medical Mask,Muttonchops"
341,Female,9734,Light,2,"Earring,Messy Hair"
342,Female,9907,Light,2,"Bandana,Regular Shades"
343,Male,4049,Light,2,"Police Cap,Shadow Beard"
344,Male,75,Dark,1,Beanie
345,Female,3744,Mid,2,"Earring,Tassle Hat,Hidden Earring"
346,Male,3218,Mid,1,Purple Hair
347,Male,8900,Mid,2,"Horned Rim Glasses,Knitted Cap"
348,Female,1084,Light,3,"Messy Hair,Nerd Glasses,Rosy Cheeks"
349,Male,5112,Dark,3,"Earring,Front Beard Dark,Mohawk Dark"
350,Female,8108,Mid,1,Stringy Hair
351,Male,3194,Light,3,"Goat,Mole,Purple Hair"
352,Female,2759,Mid,2,"Green Eye Shadow,Straight Hair"
353,Female,5832,Light,2,"Bandana,Green Eye Shadow"
354,Male,4072,Albino,2,"Cigarette,Police Cap"
355,Female,1220,Albino,4,"Black Lipstick,Gold Chain,Green Eye Shadow,Wild White Hair"
356,Male,8107,Light,1,Stringy Hair
357,Female,3742,Dark,2,"Earring,Tassle Hat,Hidden Earring"
358,Male,6373,Light,3,"Luxurious Beard,Mohawk,Small Shades"
359,Female,9713,Albino,2,"Hot Lipstick,Messy Hair"
360,Male,6902,Mid,2,"Bandana,Normal Beard Black"
361,Male,8063,Mid,1,Mohawk Dark
362,Male,7104,Mid,3,"Eye Mask,Peak Spike,Shadow Beard"
363,Male,1452,Albino,3,"Cowboy Hat,Nerd Glasses,Shadow Beard"
364,Male,4874,Albino,2,"Hoodie,Normal Beard Black"
365,Male,6922,Light,2,"Do-rag,Normal Beard"
366,Male,7157,Mid,3,"Earring,Eye Mask,Mohawk"
367,Male,2557,Dark,1,Clown Hair Green
368,Female,9449,Mid,2,"Frumpy Hair,Purple Lipstick"
369,Male,3801,Light,3,"Earring,Fedora,Luxurious Beard"
370,Male,1050,Dark,4,"Cigarette,Peak Spike,Rosy Cheeks,Small Shades"
371,Female,8084,Mid,1,Frumpy Hair
372,Ape,36,Ape,1,Cap Forward
373,Male,8707,Dark,2,"Earring,Headband"
374,Female,8599,Dark,2,"Bandana,Clown Eyes Blue"
375,Female,5804,Light,2,"Green Eye Shadow,Wild Hair"
376,Female,2329,Light,2,"Half Shaved,Nerd Glasses"
377,Male,3353,Albino,5,"Cigarette,Earring,Headband,Normal Beard,Regular Shades"
378,Female,9466,Dark,2,"Earring,Frumpy Hair,Hidden Earring"
379,Female,9283,Light,3,"Earring,Mohawk Thin,Purple Lipstick"
380,Female,9560,Light,3,"Black Lipstick,Earring,Wild Hair,Hidden Earring"
381,Female,8926,Light,2,"Knitted Cap,Purple Lipstick"
382,Female,194,Light,2,"Cigarette,Pilot Helmet"
383,Female,1554,Mid,2,"Green Eye Shadow,Straight Hair Blonde"
384,Female,9879,Mid,3,"Bandana,Classic Shades,Purple Lipstick"
385,Female,139,Mid,2,"Choker,Wild Hair"
386,Male,7599,Mid,2,"Do-rag,Earring"
387,Male,3387,Mid,3,"Cap Forward,Gold Chain,Pipe"
388,Female,1618,Mid,3,"Clown Eyes Blue,Hot Lipstick,Straight Hair Blonde"
389,Male,1048,Light,2,"Do-rag,Rosy Cheeks"
390,Female,8098,Light,1,Messy Hair
391,Female,1569,Dark,3,"Black Lipstick,Eye Mask,Wild Blonde"
392,Male,7426,Mid,1,Shaved Head
393,Male,4700,Light,3,"Cap Forward,Cigarette,VR"
394,Female,749,Light,2,"Earring,Pink With Hat,Hidden Earring"
395,Male,4669,Light,3,"Cap Forward,Earring,Normal Beard"
396,Female,1592,Mid,1,Straight Hair Blonde
397,Male,1432,Mid,1,Cowboy Hat
398,Male,8113,Dark,1,Bandana
399,Male,3221,Dark,2,"Purple Hair,Small Shades"
400,Female,1945,Mid,3,"Blonde Bob,Purple Eye Shadow,Purple Lipstick"
401,Male,1859,Dark,3,"Big Beard,Earring,Frumpy Hair"
402,Male,5129,Dark,2,"Front Beard Dark,Mohawk Thin"
403,Male,2604,Dark,2,"Classic Shades,Clown Hair Green"
404,Female,257,Light,3,"Cigarette,Orange Side,Silver Chain"
405,Female,8100,Mid,1,Messy Hair
406,Male,4989,Dark,2,"Hoodie,Nerd Glasses"
407,Female,1713,Light,3,"Earring,Purple Lipstick,Wild Blonde"
408,Male,4707,Dark,1,Cap Forward
409,Female,8916,Light,2,"Black Lipstick,Knitted Cap"
410,Male,8608,Albino,2,"Eye Patch,Headband"
411,Female,8549,Light,3,"Black Lipstick,Clown Eyes Blue,Wild Hair"
412,Male,3231,Albino,3,"Classic Shades,Earring,Purple Hair,Hidden Earring"
413,Female,2775,Albino,1,Straight Hair
414,Male,841,Light,3,"Earring,Shadow Beard,Top Hat"
415,Male,3925,Light,4,"Frown,Mole,Police Cap,Small Shades"
416,Male,4229,Dark,3,"Cigarette,Hoodie,Smile"
417,Female,2555,Dark,1,Straight Hair Dark
418,Female,1254,Dark,3,"Black Lipstick,Vape,Wild White Hair"
419,Female,9999,Mid,2,"Bandana,Earring"
420,Male,8831,Albino,2,"Crazy Hair,Earring"
421,Male,6079,Mid,2,"Front Beard,Wild Hair"
422,Female,2985,Light,4,"Dark Hair,Earring,Purple Eye Shadow,Purple Lipstick,Hidden Earring"
423,Male,7451,Dark,2,"Clown Eyes Blue,Shaved Head"
424,Male,4912,Albino,3,"Hoodie,Muttonchops,Regular Shades"
425,Female,9643,Dark,3,"Black Lipstick,Horned Rim Glasses,Messy Hair"
426,Male,7804,Dark,2,"Big Shades,Peak Spike"
427,Female,8096,Dark,1,Messy Hair
428,Female,4397,Dark,1,Purple Eye Shadow
429,Male,3917,Mid,2,"Police Cap,Smile"
430,Female,3099,Dark,3,"Dark Hair,Earring,Purple Lipstick,Hidden Earring"
431,Female,8658,Dark,2,"Headband,Horned Rim Glasses"
432,Male,9723,Mid,3,"Cigarette,Earring,Messy Hair"
433,Male,7014,Mid,4,"Earring,Mohawk Thin,Normal Beard,Regular Shades"
434,Male,7169,Albino,2,"Eye Mask,Frumpy Hair"
435,Male,7718,Mid,2,"Mohawk Thin,Muttonchops"
436,Male,3492,Mid,1,Medical Mask
437,Male,5086,Light,3,"Crazy Hair,Eye Patch,Front Beard Dark"
438,Female,8062,Mid,1,Mohawk Dark
439,Male,8872,Mid,2,"Knitted Cap,Shadow Beard"
440,Female,1190,Dark,2,"Black Lipstick,Blonde Short"
441,Male,9781,Dark,2,"Shadow Beard,Stringy Hair"
442,Male,1377,Light,2,"Cowboy Hat,Front Beard"
443,Female,1588,Dark,1,Wild Blonde
